gc_612	co--forest--perfect
gc_613	XC_{10}--free
gc_614	XC_{10}--free $\cap$ pseudo--modular
gc_615	(XC_1,XC_2,XC_3,XC_4,XC_5,XC_6,XC_7,XC_8)--free
gc_616	irredundance perfect with ir(G)=2
gc_617	(X_{30},XZ_1,XZ_4,longhorn)--free
gc_618	(K_{2,3},X_{37},X_{38},diamond,domino,house,twin-C_5)--free
gc_619	(X_{38},gem,house)--free
gc_620	probe interval $\cap$ tree
gc_621	(T_3,X_{81},cycle)--free
gc_622	claw--free $\cap$ odd-hole--free $\cap$ tripartite
gc_623	odd anti-hole--free
gc_624	claw--free $\cap$ odd anti-hole--free $\cap$ tripartite
gc_625	(W_4,W_5,butterfly)--free
gc_626	perfect $\cap$ split-neighbourhood
gc_627	(2K_2,K_{3,3},K_{3,3}+e,P_4,\co{2P_3})--free
gc_628	(K_{2,3},diamond)--free
gc_629	(K_{2,3},diamond)--free $\cap$ weakly modular
gc_630	even anti-hole--free
gc_631	cycle--free
gc_632	(fork,triangle)--free
gc_633	(cross,triangle)--free
gc_634	(K_4,P_4)--free
gc_635	(H,triangle)--free
gc_636	(E,triangle)--free
gc_637	P_5--free $\cap$ tripartite
gc_638	P_6--free
gc_639	P_6--free $\cap$ tripartite
gc_640	nearly bipartite
gc_642	convex-round
gc_644	circular convex bipartite
gc_645	bipartite $\cap$ convex-round
gc_646	interval enumerable
gc_647	(P_5,X_{82},X_{83})--free
gc_648	(K_{3,3}-e,P_5)--free
gc_649	k-leaf power, fixed $k$
gc_650	4-leaf power
gc_651	3-leaf power
gc_652	2-leaf power
gc_653	(C_{n+4},bull,dart,gem)--free
gc_655	(0,2)-colorable $\cap$ chordal
gc_656	(0,3)-colorable $\cap$ chordal
gc_657	(1,2)-colorable $\cap$ chordal
gc_658	(2,0)-colorable $\cap$ chordal
gc_659	(2,2)-colorable $\cap$ chordal
gc_660	(C_{n+4},K_4)--free
gc_661	(2K_3,C_{n+4})--free
gc_662	(3K_1,C_4,C_5)--free
gc_663	(3K_3,C_{n+4})--free
gc_664	(2K_3,2P_3,C_5,C_6,C_7,K_{2,3},K_3 \cup P_3,X_{84},\co{3K_2},\co{C_4 \cup P_2},\co{C_6},\co{P_2 \cup P_4},\co{P_6},\co{X_{18}},\co{X_5},co-antenna,co-domino,co-fish)--free
gc_665	(1,2)-polar
gc_666	(1,2)-polar $\cap$ chordal
gc_667	co--bithreshold $\cap$ split
gc_668	perfect connected-dominant
gc_669	(C_5,P_5)--free
gc_670	(P_5,triangle)--free
gc_671	(K_4,P_5)--free
gc_672	(C_4,C_5,C_6,C_7,C_8,H,X_{85},triangle)--free
gc_673	\co{K_{1,4}}--free
gc_674	4K_1--free
gc_675	2-subdivision $\cap$ planar
gc_676	charming
gc_678	(P_5,\co{C_6})--free
gc_679	(P_5,\co{C_6})--free $\cap$ weakly chordal
gc_680	slim
gc_681	probe Meyniel
gc_682	probe Gallai
gc_683	(P_6,X_{30},X_8)--free
gc_684	(C_5,co-butterfly,co-diamond,triangle)--free
gc_685	1-bounded bipartite
gc_686	(C_5,C_6 \cup K_1,C_7,K_{3,3} \cup K_1,K_{3,3}-e \cup K_1,\co{K_5 - e},domino \cup K_1,triangle)--free
gc_687	2-bounded bipartite
gc_688	(K_{3,3},K_4,W_4 \cup K_1,W_5,X_{86},X_{87},X_{88},X_{89},X_{90},\co{C_7},\co{X_{38}},\co{X_{39}},\co{butterfly \cup K_1},co-diamond)--free
gc_689	1-bounded tripartite
gc_690	upper irredundance perfect
gc_691	upper domination perfect
gc_692	(C_4,X_{91},claw)--free
gc_693	claw--free $\cap$ upper domination perfect
gc_694	strong domination perfect
gc_695	(A,H,K_{3,3},K_{3,3}-e,X_{45},XZ_5,domino)--free
gc_696	(BW_3,C_5,K_{3,4},K_{3,4}-e,T_2,X_{18},X_{92},X_{93},triangle)--free
gc_697	(A,H,K_{3,3},K_{3,3}-e,T_2,X_{18},X_{45},domino,triangle)--free
gc_698	(C_5,K_{3,3}-e,T_2,X_{18},X_{94},domino,triangle)--free
gc_699	clique-perfect
gc_700	(W_4,gem)--free
gc_701	(W_4,gem)--free $\cap$ short--chorded
gc_702	slender
gc_703	skeletal
gc_704	quasi-Meyniel
gc_705	clique-perfect $\cap$ triangle--free
gc_706	even-cycle--free
gc_707	line graphs of multigraphs without triangles
gc_708	line graphs of triangle-free graphs
gc_709	(claw,diamond)--free
gc_710	line graphs of acyclic multigraphs
gc_711	(W_4,claw,gem,odd-hole)--free
gc_712	line graphs of bipartite multigraphs
gc_713	(4-fan,K_{1,4},W_4,W_5,\co{A \cup K_1},\co{co-fork \cup K_1},\co{gem \cup K_1},\co{net \cup K_1})--free
gc_714	line graphs of Helly hypergraphs of rank 3
gc_715	3-mino
gc_716	line graphs of linear hypergraphs of rank 3
gc_717	maximum degree 4
gc_719	linear domino
gc_720	maximum degree 3
gc_721	2-tree
gc_722	2-tree $\cap$ probe interval
gc_723	maximal outerplanar
gc_724	rectangle visibility
gc_725	weak rectangle visibility
gc_726	partial rectangle visibility
gc_727	bar visibility
gc_728	thickness \le 2
gc_729	biplanar
gc_730	weak bar visibility
gc_731	partial bar visibility
gc_732	caterpillar arboricity \le 2
gc_733	linear arboricity \le 2
gc_734	partial 4--tree
gc_735	K_2 \cup claw--free
gc_736	gridline
gc_737	P_7--free
gc_738	frame hereditary dominating pair
gc_739	grid intersection
gc_740	bipartite $\cap$ grid intersection
gc_741	string
gc_742	probe interval bigraph
gc_743	bipartite $\cap$ boxicity 2
gc_744	co--line graphs of bipartite graphs
gc_745	bipartite $\cup$ co--bipartite $\cup$ co--line graphs of bipartite graphs $\cup$ line graphs of bipartite graphs
gc_746	(X_{12},X_5,X_{95},X_{96},X_{97},\co{X_{12}},\co{X_5},\co{X_{95}},\co{X_{96}},\co{X_{97}},\co{claw \cup triangle},claw \cup triangle,co-cricket,co-twin-house,cricket,odd anti-hole,odd-hole,twin-house)--free
gc_747	hereditary clique--Helly
gc_748	(S_3,\co{3K_2},\co{E},\co{P_2 \cup P_4})--free
gc_749	maximal clique irreducible
gc_750	hereditary maximal clique irreducible
gc_751	unit bar visibility
gc_752	co--hereditary clique--Helly
gc_753	circular perfect
gc_754	biclique separable
gc_755	co--biclique separable
gc_756	(E,P)--free
gc_757	(P,T_2)--free
gc_758	(P,P_8)--free
gc_759	(K_{3,3}-e,P_5,X_{99})--free
gc_760	chordal $\cap$ diamond--free
gc_761	probe cograph
gc_762	probe $P_4$--reducible
gc_763	probe $P_4$--sparse
gc_764	probe split
gc_765	(C_{n+4},T_2,X_{31},XF_2^{n+1},XF_3^n)--free
gc_766	(C_{n+6},T_2,X_2,X_3,X_{30},X_{31},X_{32},X_{33},X_{34},X_{35},X_{36},X_{37},X_{38},X_{39},X_{40},X_{41},XF_2^{n+1},XF_3^n,XF_4^n)--free
gc_767	(XF_1^{2n+3},XF_5^{2n+3},XF_6^{2n+2},\co{C_{n+6}},\co{T_2},\co{X_2},\co{X_3},\co{X_{30}},\co{X_{31}},\co{X_{32}},\co{X_{33}},\co{X_{34}},\co{X_{35}},\co{X_{36}},co-XF_2^{n+1},co-XF_3^n,co-XF_4^n,odd-hole)--free
gc_768	(C_{n+6},X_{37},claw,co-antenna,net,sun)--free
gc_769	(C_{n+4},T_2,XF_2^{n+1})--free
gc_770	square of tree
gc_771	2-connected
gc_772	(4-fan,C_{n+4},K_5 - e,S_3,\co{H},\co{K_3 \cup 2K_1})--free
gc_773	2-connected $\cap$ (4-fan,C_{n+4},K_5 - e,S_3,\co{H},\co{K_3 \cup 2K_1})--free
gc_774	(4-fan,C_{n+4},K_5 - e,S_3,X_{100},X_{101},X_{102},\co{H},\co{K_3 \cup 2K_1})--free
gc_775	basic 4-leaf power
gc_776	(C_{n+4},P_5,claw,gem)--free
gc_777	cycle-bicolorable
gc_778	alternately colourable
gc_779	(BW_3,W_5,W_7,X_{103},X_{104},X_{105},X_{106},X_{107},X_{108},X_{109},X_{110},X_{111},X_{112},X_{113},X_{114},X_{115},X_{116},X_{117},X_{118},X_{119},X_{120},X_{121},X_{122},X_{123},X_{124},X_{125},X_{126},X_{53},X_{88},\co{C_6},\co{C_8},\co{T_2},\co{X_3})--free
gc_780	Bouchet
gc_781	quasi-threshold
gc_782	(C_{n+4},S_3 \cup K_1,claw,net)--free
gc_783	graceful
gc_784	caterpillar
gc_785	harmonious
gc_786	probe distance--hereditary
gc_787	probe comparability
gc_788	probe co--comparability
gc_789	probe permutation
gc_790	bipartite $\cap$ probe interval
gc_791	(T_2,cycle)--free
gc_792	sun--free $\cap$ weakly chordal
gc_793	chordal $\cap$ hereditary clique--Helly
gc_794	disk-Helly
gc_795	hereditary disk-Helly
gc_796	(K_2 \cup K_3,X_{11},X_{127},X_{128},X_{129},X_{131},X_{133},X_{135},X_{136},X_{137},X_{138},X_{139},X_{140},X_{141},X_{142},X_{143},X_{144},X_{145},X_{146},X_{147},X_{148},X_{149},X_{150},X_{151},X_{30},X_{35},X_{46},XF_1^{2n+3},XF_6^{2n+3},\co{2P_3},\co{3K_2},\co{C_4 \cup P_2},\co{C_6},\co{P_6},\co{X_{130}},\co{X_{132}},\co{X_{134}},\co{X_{152}},\co{X_{153}},\co{X_{154}},\co{X_{155}},\co{X_{156}},\co{X_{157}},\co{X_{158}},\co{X_{18}},\co{X_{84}},antenna,co-domino,co-fish,eiffeltower,longhorn,odd-hole)--free
gc_797	co--probe cograph
gc_798	(2K_3 + e,C_5,C_6,P_6,X_5,\co{2P_4},\co{A},\co{C_6},\co{C_7},\co{E},\co{P_7},\co{R},\co{X_1},\co{X_{103}},\co{X_5},\co{X_{58}},\co{X_{84}},\co{X_{98}},antenna,co-domino,co-rising sun,co-twin-house,domino,parachute,parapluie,rising sun,sunlet_4)--free
gc_799	probe threshold
gc_800	probe trivially perfect
gc_803	co--probe threshold
gc_804	2K_2--free $\cap$ probe cograph
gc_805	2K_2--free $\cap$ probe trivially perfect
gc_806	(2K_2,C_5,S_3,X_{159},X_{160},X_{161},X_{162},X_{46},X_{70},\co{2P_3},\co{3K_2},\co{H},\co{P_2 \cup P_4},\co{X_1},co-rising sun,house,net)--free
gc_807	probe threshold $\cap$ split
gc_808	(C_6,K_{3,3}+e,P,P_7,X_{37},X_{41})--free
gc_809	(K_{2,3},P,P_5,X_{163},X_{95},diamond)--free
gc_810	subtree filament
gc_811	(P,star_{1,2,5})--free
gc_812	(P_5,\co{P_2 \cup P_3})--free
gc_813	(P,P_7)--free
